name,value,year,lastValue,rank
UPS,16479.4,2017.2,16433.2,28
Pampers,16456.2,2017.2,16436.1,29
J.P. Morgan,16112.6000000001,2017.2,15930.7999999998,30
Budweiser,15425.4,2017.2,15400.2,31
Hermès,14642.4000000001,2017.2,14426.1999999998,32
Ford,13713.4,2017.2,13678.2,33
Hyundai,13261.4,2017.2,13227.2,34
eBay,13182.6,2017.2,13203.3,35
Accenture,12819.6000000001,2017.2,12645.2999999998,36
NESCAFÉ,12739.4,2017.2,12700.2,37
Audi,12055.8,2017.2,12039.4,38
Nissan,11669.8,2017.2,11601.8999999999,39
Volkswagen,11657.8,2017.2,11589.8999999999,40
Philips,11636,2017.2,11577.4999999999,41
AXA,11082,2017.2,11077.5,42
Goldman Sachs,11045,2017.2,10954.4999999999,43
Kellogg's,10904.4,2017.2,10938.2,44
Citi,10794.6,2017.2,10696.7999999999,45
L'Oréal,10759.6,2017.2,10716.8,46
HSBC,10668.8,2017.2,10601.3999999999,47
Gucci,10563.6000000001,2017.2,10266.2999999997,48
Porsche,10244.6,2017.2,10186.7999999999,49
Allianz,10211.4,2017.2,10135.1999999999,50
Siemens,10012,2017.2,9996.99999999999,51
Canon,9906.40000000003,2017.2,9847.19999999995,52
HP,9719.40000000004,2017.2,9630.19999999992,53
adidas,9527.20000000007,2017.2,9371.59999999986,54
Adobe,9397.60000000008,2017.2,9228.79999999985,55
Danone,9364.20000000001,2017.2,9343.09999999998,56
3M,8978.40000000001,2017.2,8962.69999999999,57
Starbucks,8886.20000000004,2017.2,8795.09999999992,58
Hewlett Packard Enterprise,8792.19999999996,2017.2,8871.60000000007,59
Nestlé,8770.00000000001,2017.2,8748.99999999998,60
Sony,8642.40000000004,2017.2,8558.19999999992,61
Colgate,8391.80000000002,2017.2,8358.39999999997,62
Morgan Stanley,8324.40000000003,2017.2,8264.69999999995,63
Visa,8056.20000000006,2017.2,7935.59999999989,64
Cartier,7566.8,2017.2,7556.89999999999,65
LEGO,6925.79999999998,2017.2,6974.90000000005,66
Banco Santander,6871.00000000004,2017.2,6786.49999999992,67
Huawei,6856.40000000004,2017.2,6766.19999999992,68
Kia,6731.40000000001,2017.2,6707.19999999998,69
Mastercard,6589.00000000005,2017.2,6469.49999999989,70
FedEx,6382.00000000003,2017.2,6318.49999999994,71
Land Rover,6120.20000000001,2017.2,6107.59999999999,72
Netflix,6095.80000000011,2017.2,5843.89999999977,73
Johnson & Johnson,6079.00000000001,2017.2,6059.99999999998,74
Panasonic,6045.00000000001,2017.2,6013.99999999997,75
DHL,5748.20000000001,2017.2,5731.59999999998,76
PayPal,5650.60000000005,2017.2,5529.29999999989,77
Harley-Davidson,5568.99999999998,2017.2,5620.00000000005,78
Discovery,5479.80000000002,2017.2,5445.39999999997,79
Salesforce.com,5465.60000000005,2017.2,5344.79999999989,80
Tiffany & Co.,5443.60000000001,2017.2,5418.79999999998,81
Jack Daniel's,5393.80000000001,2017.2,5362.89999999997,82
KFC,5346.60000000001,2017.2,5329.79999999998,83
Heineken,5223.40000000001,2017.2,5202.19999999998,84
MINI,5142.00000000001,2017.2,5127.99999999999,85
Burberry,5105.79999999999,2017.2,5120.40000000001,86
Ferrari,5052.80000000004,2017.2,4964.39999999992,87
Caterpillar,5040.40000000004,2017.2,4954.19999999992,88
Corona,4924.20000000003,2017.2,4850.09999999993,89
Shell,4913.60000000002,2017.2,4868.29999999996,90
John Deere,4901.40000000003,2017.2,4842.19999999995,91
Sprite,4820.2,2017.2,4831.10000000001,92
Prada,4735.2,2017.2,4725.59999999999,93
Dior,4714.20000000003,2017.2,4650.59999999994,94
Johnnie Walker,4470.20000000002,2017.2,4437.59999999997,95
Chanel,NA,2017.2,NA,96
Hennessy,NA,2017.2,NA,97
Nintendo,NA,2017.2,NA,98
Spotify,NA,2017.2,NA,99
